Document Number / PO Number,Doc Type,Party / Vendor Name,Error Reason,Tally Line Error,Tally Raw Response
"5105641086","ZIMP","Unknown Vendor","Tally import exception: exceptions=0, errors=1","","<RESPONSE>
  <LINEERROR/>
  <CREATED>0</CREATED>
  <ALTERED>2</ALTERED>
  <DELETED>0</DELETED>
  <LASTVCHID>0</LASTVCHID>
  <LASTMID>0</LASTMID>
  <COMBINED>0</COMBINED>
  <IGNORED>0</IGNORED>
  <ERRORS>1</ERRORS>
  <CANCELLED>0</CANCELLED>
  <EXCEPTIONS>0</EXCEPTIONS>
 </RESPONSE>
 "
"5105641087","ZIMP","Unknown Vendor","Voucher Type &apos;Purchase ZIMP&apos; does not exist!","Voucher Type &apos;Purchase ZIMP&apos; does not exist!","<RESPONSE>
  <LINEERROR>Voucher Type &apos;Purchase ZIMP&apos; does not exist!</LINEERROR>
  <CREATED>0</CREATED>
  <ALTERED>2</ALTERED>
  <DELETED>0</DELETED>
  <LASTVCHID>0</LASTVCHID>
  <LASTMID>0</LASTMID>
  <COMBINED>0</COMBINED>
  <IGNORED>0</IGNORED>
  <ERRORS>0</ERRORS>
  <CANCELLED>0</CANCELLED>
  <EXCEPTIONS>1</EXCEPTIONS>
 </RESPONSE>
 "
"5105642736","ZCOL","90168","Voucher totals do not match! Dr: 1,91,562.99 Dr Cr: 1,88,368.68 Cr Diff: 3,194.31 Dr","Voucher totals do not match! Dr: 1,91,562.99 Dr Cr: 1,88,368.68 Cr Diff: 3,194.31 Dr","<RESPONSE>
  <LINEERROR>Voucher totals do not match! Dr: 1,91,562.99 Dr Cr: 1,88,368.68 Cr Diff: 3,194.31 Dr</LINEERROR>
  <CREATED>0</CREATED>
  <ALTERED>2</ALTERED>
  <DELETED>0</DELETED>
  <LASTVCHID>0</LASTVCHID>
  <LASTMID>0</LASTMID>
  <COMBINED>0</COMBINED>
  <IGNORED>0</IGNORED>
  <ERRORS>1</ERRORS>
  <CANCELLED>0</CANCELLED>
  <EXCEPTIONS>0</EXCEPTIONS>
 </RESPONSE>
 "
"5105642748","ZCOL","20036","Voucher totals do not match! Dr: 5,33,893.59 Dr Cr: 5,30,699.28 Cr Diff: 3,194.31 Dr","Voucher totals do not match! Dr: 5,33,893.59 Dr Cr: 5,30,699.28 Cr Diff: 3,194.31 Dr","<RESPONSE>
  <LINEERROR>Voucher totals do not match! Dr: 5,33,893.59 Dr Cr: 5,30,699.28 Cr Diff: 3,194.31 Dr</LINEERROR>
  <CREATED>0</CREATED>
  <ALTERED>2</ALTERED>
  <DELETED>0</DELETED>
  <LASTVCHID>0</LASTVCHID>
  <LASTMID>0</LASTMID>
