Document Number / PO Number,Doc Type,Party / Vendor Name,Error Reason,Tally Line Error,Tally Raw Response
"5100001465","RE","800000-2","Tally import exception: exceptions=1, errors=0","","<RESPONSE>
  <CREATED>0</CREATED>
  <ALTERED>0</ALTERED>
  <DELETED>0</DELETED>
  <LASTVCHID>0</LASTVCHID>
  <LASTMID>0</LASTMID>
  <COMBINED>0</COMBINED>
  <IGNORED>0</IGNORED>
  <ERRORS>0</ERRORS>
  <CANCELLED>0</CANCELLED>
  <EXCEPTIONS>1</EXCEPTIONS>
 </RESPONSE>
 "
"5100002339","RE","800000-2","Tally import exception: exceptions=1, errors=0","","<RESPONSE>
  <CREATED>0</CREATED>
  <ALTERED>0</ALTERED>
  <DELETED>0</DELETED>
  <LASTVCHID>0</LASTVCHID>
  <LASTMID>0</LASTMID>
  <COMBINED>0</COMBINED>
  <IGNORED>0</IGNORED>
  <ERRORS>0</ERRORS>
  <CANCELLED>0</CANCELLED>
  <EXCEPTIONS>1</EXCEPTIONS>
 </RESPONSE>
 "
"5100001782","RE","411110-2","Tally import exception: exceptions=1, errors=0","","<RESPONSE>
  <CREATED>0</CREATED>
  <ALTERED>0</ALTERED>
  <DELETED>0</DELETED>
  <LASTVCHID>0</LASTVCHID>
  <LASTMID>0</LASTMID>
  <COMBINED>0</COMBINED>
  <IGNORED>0</IGNORED>
  <ERRORS>0</ERRORS>
  <CANCELLED>0</CANCELLED>
  <EXCEPTIONS>1</EXCEPTIONS>
 </RESPONSE>
 "
"5100001451","RE","411110-2","Tally import exception: exceptions=1, errors=0","","<RESPONSE>
  <CREATED>0</CREATED>
  <ALTERED>0</ALTERED>
  <DELETED>0</DELETED>
  <LASTVCHID>0</LASTVCHID>
  <LASTMID>0</LASTMID>
  <COMBINED>0</COMBINED>
  <IGNORED>0</IGNORED>
  <ERRORS>0</ERRORS>
  <CANCELLED>0</CANCELLED>
  <EXCEPTIONS>1</EXCEPTIONS>
 </RESPONSE>
 "
"5100001775","RE","800000-2","Tally import exception: exceptions=1, errors=0","","<RESPONSE>
  <CREATED>0</CREATED>
  <ALTERED>0</ALTERED>
  <DELETED>0</DELETED>
  <LASTVCHID>0</LASTVCHID>
  <LASTMID>0</LASTMID>
  <COMBINED>0</COMBINED>
  <IGNORED>0</IGNORED>
  <ERRORS>0</ERRORS>
  <CANCELLED>0</CANCELLED>
  <EXCEPTIONS>1</EXCEPTIONS>
 </RESPONSE>
 "
"5100001765","RE","800001-2","Tally import exception: exceptions=1, errors=0","","<RESPONSE>
  <CREATED>0</CREATED>
  <ALTERED>0</ALTERED>
  <DELETED>0</DELETED>
  <LASTVCHID>0</LASTVCHID>
  <LASTMID>0</LASTMID>
  <COMBINED>0</COMBINED>
  <IGNORED>0</IGNORED>
  <ERRORS>0</ERRORS>
  <CANCELLED>0</CANCELLED>
  <EXCEPTIONS>1</EXCEPTIONS>
 </RESPONSE>
 "
"5100001407","RE","411110-2","Tally import exception: exceptions=1, errors=0","","<RESPONSE>
  <CREATED>0</CREATED>
  <ALTERED>0</ALTERED>
  <DELETED>0</DELETED>
  <LASTVCHID>0</LASTVCHID>
  <LASTMID>0</LASTMID>
  <COMBINED>0</COMBINED>
  <IGNORED>0</IGNORED>
  <ERRORS>0</ERRORS>
  <CANCELLED>0</CANCELLED>
  <EXCEPTIONS>1</EXCEPTIONS>
 </RESPONSE>
 "
"5100001589","RE","411110-2","Tally import exception: exceptions=1, errors=0","","<RESPONSE>
  <CREATED>0</CREATED>
  <ALTERED>0</ALTERED>
  <DELETED>0</DELETED>
